,logit_roc_auc,fpr,tpr,thresholds
0,0.7575686274509804,0.0,0.0,1.8721825444666647
1,0.7575686274509804,0.0,0.312,0.8721825444666647
2,0.7575686274509804,0.0,0.336,0.8501492119202667
3,0.7575686274509804,0.024509803921568627,0.352,0.7476887709243625
4,0.7575686274509804,0.049019607843137254,0.504,0.7179941433961815
5,0.7575686274509804,0.049019607843137254,0.512,0.6069044913876409
6,0.7575686274509804,0.1568627450980392,0.672,0.5707924842901201
7,0.7575686274509804,0.3088235294117647,0.76,0.4092856063552055
8,0.7575686274509804,0.3088235294117647,0.808,0.3655064432375311
9,0.7575686274509804,0.3431372549019608,0.84,0.23129886315245424
10,0.7575686274509804,0.5,0.872,0.20541600653711362
11,0.7575686274509804,1.0,1.0,0.11896900055223886
